compound,modifier,head,interpretation,type
homework,home,work,work that uses home,H that uses M
homework,home,work,work located in home,H located in M
homework,home,work,work located at home,H located at M
homework,home,work,home located in work,M located in H
homework,home,work,home located at work,M located at H
honeybee,honey,bee,honeybee,same
honeybee,honey,bee,bee about honey,H about M
honeybee,honey,bee,bee by honey,H by M
honeybee,honey,bee,bee caused by honey,H caused by M
honeybee,honey,bee,bee causes honey,H causes M
honeybee,honey,bee,bee causing honey,H causing M
honeybee,honey,bee,bee that causes honey,H that causes M
honeybee,honey,bee,bee during honey,H during M
honeybee,honey,bee,bee for honey,H for M
honeybee,honey,bee,bee from honey,H from M
honeybee,honey,bee,bee has honey,H has M
honeybee,honey,bee,bee having honey,H having M
honeybee,honey,bee,bee that has honey,H that has M
honeybee,honey,bee,honey has bee,M has H
honeybee,honey,bee,honey having bee,M having H
honeybee,honey,bee,honey that has bee,M that has H
honeybee,honey,bee,bee is honey,H is M
honeybee,honey,bee,bee being honey,H being M
honeybee,honey,bee,bee that is honey,H that is M
honeybee,honey,bee,bee location is honey,H location is M
honeybee,honey,bee,bee whose location is honey,H whose location is M
honeybee,honey,bee,bee located on honey,H located on M
honeybee,honey,bee,honey location is bee,M location is H
honeybee,honey,bee,honey whose location is bee,M whose location is H
honeybee,honey,bee,honey located on bee,M located on H
honeybee,honey,bee,bee made of honey,H made of M
honeybee,honey,bee,bee makes honey,H makes M
honeybee,honey,bee,bee making honey,H making M
honeybee,honey,bee,bee that makes honey,H that makes M
honeybee,honey,bee,bee used by honey,H used by M
honeybee,honey,bee,bee uses honey,H uses M
honeybee,honey,bee,bee using honey,H using M
honeybee,honey,bee,bee that uses honey,H that uses M
honeybee,honey,bee,bee located in honey,H located in M
honeybee,honey,bee,bee located at honey,H located at M
honeybee,honey,bee,honey located in bee,M located in H
honeybee,honey,bee,honey located at bee,M located at H
honeycomb,honey,comb,honeycomb,same
honeycomb,honey,comb,comb about honey,H about M
honeycomb,honey,comb,comb by honey,H by M
honeycomb,honey,comb,comb caused by honey,H caused by M
honeycomb,honey,comb,comb causes honey,H causes M
honeycomb,honey,comb,comb causing honey,H causing M
honeycomb,honey,comb,comb that causes honey,H that causes M
honeycomb,honey,comb,comb during honey,H during M
honeycomb,honey,comb,comb for honey,H for M
honeycomb,honey,comb,comb from honey,H from M
honeycomb,honey,comb,comb has honey,H has M
honeycomb,honey,comb,comb having honey,H having M
honeycomb,honey,comb,comb that has honey,H that has M
honeycomb,honey,comb,honey has comb,M has H
honeycomb,honey,comb,honey having comb,M having H
honeycomb,honey,comb,honey that has comb,M that has H
honeycomb,honey,comb,comb is honey,H is M
honeycomb,honey,comb,comb being honey,H being M
honeycomb,honey,comb,comb that is honey,H that is M
honeycomb,honey,comb,comb location is honey,H location is M
honeycomb,honey,comb,comb whose location is honey,H whose location is M
honeycomb,honey,comb,comb located on honey,H located on M
honeycomb,honey,comb,honey location is comb,M location is H
honeycomb,honey,comb,honey whose location is comb,M whose location is H
honeycomb,honey,comb,honey located on comb,M located on H
honeycomb,honey,comb,comb made of honey,H made of M
honeycomb,honey,comb,comb makes honey,H makes M
honeycomb,honey,comb,comb making honey,H making M
honeycomb,honey,comb,comb that makes honey,H that makes M
honeycomb,honey,comb,comb used by honey,H used by M
honeycomb,honey,comb,comb uses honey,H uses M
honeycomb,honey,comb,comb using honey,H using M
honeycomb,honey,comb,comb that uses honey,H that uses M
honeycomb,honey,comb,comb located in honey,H located in M
honeycomb,honey,comb,comb located at honey,H located at M
honeycomb,honey,comb,honey located in comb,M located in H
honeycomb,honey,comb,honey located at comb,M located at H
horseback,horse,back,horseback,same
horseback,horse,back,back about horse,H about M
horseback,horse,back,back by horse,H by M
horseback,horse,back,back caused by horse,H caused by M
horseback,horse,back,back causes horse,H causes M
horseback,horse,back,back causing horse,H causing M
horseback,horse,back,back that causes horse,H that causes M
horseback,horse,back,back during horse,H during M
horseback,horse,back,back for horse,H for M
horseback,horse,back,back from horse,H from M
horseback,horse,back,back has horse,H has M
horseback,horse,back,back having horse,H having M
horseback,horse,back,back that has horse,H that has M
horseback,horse,back,horse has back,M has H
horseback,horse,back,horse having back,M having H
horseback,horse,back,horse that has back,M that has H
horseback,horse,back,back is horse,H is M
horseback,horse,back,back being horse,H being M
horseback,horse,back,back that is horse,H that is M
horseback,horse,back,back location is horse,H location is M
horseback,horse,back,back whose location is horse,H whose location is M
horseback,horse,back,back located on horse,H located on M
horseback,horse,back,horse location is back,M location is H
horseback,horse,back,horse whose location is back,M whose location is H
horseback,horse,back,horse located on back,M located on H
horseback,horse,back,back made of horse,H made of M
horseback,horse,back,back makes horse,H makes M
horseback,horse,back,back making horse,H making M
horseback,horse,back,back that makes horse,H that makes M
horseback,horse,back,back used by horse,H used by M
horseback,horse,back,back uses horse,H uses M
horseback,horse,back,back using horse,H using M
horseback,horse,back,back that uses horse,H that uses M
horseback,horse,back,back located in horse,H located in M
horseback,horse,back,back located at horse,H located at M
horseback,horse,back,horse located in back,M located in H
horseback,horse,back,horse located at back,M located at H
horsefly,horse,fly,horsefly,same
horsefly,horse,fly,fly about horse,H about M
horsefly,horse,fly,fly by horse,H by M
horsefly,horse,fly,fly caused by horse,H caused by M
horsefly,horse,fly,fly causes horse,H causes M
horsefly,horse,fly,fly causing horse,H causing M
horsefly,horse,fly,fly that causes horse,H that causes M
horsefly,horse,fly,fly during horse,H during M
horsefly,horse,fly,fly for horse,H for M
horsefly,horse,fly,fly from horse,H from M
horsefly,horse,fly,fly has horse,H has M
horsefly,horse,fly,fly having horse,H having M
horsefly,horse,fly,fly that has horse,H that has M
horsefly,horse,fly,horse has fly,M has H
horsefly,horse,fly,horse having fly,M having H
horsefly,horse,fly,horse that has fly,M that has H
horsefly,horse,fly,fly is horse,H is M
horsefly,horse,fly,fly being horse,H being M
horsefly,horse,fly,fly that is horse,H that is M
horsefly,horse,fly,fly location is horse,H location is M
horsefly,horse,fly,fly whose location is horse,H whose location is M
horsefly,horse,fly,fly located on horse,H located on M
horsefly,horse,fly,horse location is fly,M location is H
horsefly,horse,fly,horse whose location is fly,M whose location is H
horsefly,horse,fly,horse located on fly,M located on H
horsefly,horse,fly,fly made of horse,H made of M
horsefly,horse,fly,fly makes horse,H makes M
horsefly,horse,fly,fly making horse,H making M
horsefly,horse,fly,fly that makes horse,H that makes M
horsefly,horse,fly,fly used by horse,H used by M
horsefly,horse,fly,fly uses horse,H uses M
horsefly,horse,fly,fly using horse,H using M
horsefly,horse,fly,fly that uses horse,H that uses M
horsefly,horse,fly,fly located in horse,H located in M
horsefly,horse,fly,fly located at horse,H located at M
horsefly,horse,fly,horse located in fly,M located in H
horsefly,horse,fly,horse located at fly,M located at H
horsehair,horse,hair,horsehair,same
horsehair,horse,hair,hair about horse,H about M
horsehair,horse,hair,hair by horse,H by M
horsehair,horse,hair,hair caused by horse,H caused by M
horsehair,horse,hair,hair causes horse,H causes M
horsehair,horse,hair,hair causing horse,H causing M
horsehair,horse,hair,hair that causes horse,H that causes M
horsehair,horse,hair,hair during horse,H during M
horsehair,horse,hair,hair for horse,H for M
horsehair,horse,hair,hair from horse,H from M
horsehair,horse,hair,hair has horse,H has M
horsehair,horse,hair,hair having horse,H having M
horsehair,horse,hair,hair that has horse,H that has M
horsehair,horse,hair,horse has hair,M has H
horsehair,horse,hair,horse having hair,M having H
horsehair,horse,hair,horse that has hair,M that has H
horsehair,horse,hair,hair is horse,H is M
horsehair,horse,hair,hair being horse,H being M
horsehair,horse,hair,hair that is horse,H that is M
horsehair,horse,hair,hair location is horse,H location is M
horsehair,horse,hair,hair whose location is horse,H whose location is M
horsehair,horse,hair,hair located on horse,H located on M
horsehair,horse,hair,horse location is hair,M location is H
horsehair,horse,hair,horse whose location is hair,M whose location is H
horsehair,horse,hair,horse located on hair,M located on H
horsehair,horse,hair,hair made of horse,H made of M
horsehair,horse,hair,hair makes horse,H makes M
horsehair,horse,hair,hair making horse,H making M
horsehair,horse,hair,hair that makes horse,H that makes M
horsehair,horse,hair,hair used by horse,H used by M
horsehair,horse,hair,hair uses horse,H uses M
horsehair,horse,hair,hair using horse,H using M
horsehair,horse,hair,hair that uses horse,H that uses M
horsehair,horse,hair,hair located in horse,H located in M
horsehair,horse,hair,hair located at horse,H located at M
horsehair,horse,hair,horse located in hair,M located in H
horsehair,horse,hair,horse located at hair,M located at H
horseplay,horse,play,horseplay,same
horseplay,horse,play,play about horse,H about M
horseplay,horse,play,play by horse,H by M
horseplay,horse,play,play caused by horse,H caused by M
horseplay,horse,play,play causes horse,H causes M
horseplay,horse,play,play causing horse,H causing M
horseplay,horse,play,play that causes horse,H that causes M
horseplay,horse,play,play during horse,H during M
horseplay,horse,play,play for horse,H for M
horseplay,horse,play,play from horse,H from M
horseplay,horse,play,play has horse,H has M
horseplay,horse,play,play having horse,H having M
horseplay,horse,play,play that has horse,H that has M
horseplay,horse,play,horse has play,M has H
horseplay,horse,play,horse having play,M having H
horseplay,horse,play,horse that has play,M that has H
horseplay,horse,play,play is horse,H is M
horseplay,horse,play,play being horse,H being M
horseplay,horse,play,play that is horse,H that is M
horseplay,horse,play,play location is horse,H location is M
horseplay,horse,play,play whose location is horse,H whose location is M
horseplay,horse,play,play located on horse,H located on M
horseplay,horse,play,horse location is play,M location is H
horseplay,horse,play,horse whose location is play,M whose location is H
horseplay,horse,play,horse located on play,M located on H
horseplay,horse,play,play made of horse,H made of M
horseplay,horse,play,play makes horse,H makes M
horseplay,horse,play,play making horse,H making M
horseplay,horse,play,play that makes horse,H that makes M
horseplay,horse,play,play used by horse,H used by M
horseplay,horse,play,play uses horse,H uses M
horseplay,horse,play,play using horse,H using M
horseplay,horse,play,play that uses horse,H that uses M
horseplay,horse,play,play located in horse,H located in M
horseplay,horse,play,play located at horse,H located at M
horseplay,horse,play,horse located in play,M located in H
horseplay,horse,play,horse located at play,M located at H
horserace,horse,race,horserace,same
horserace,horse,race,race about horse,H about M
horserace,horse,race,race by horse,H by M
horserace,horse,race,race caused by horse,H caused by M
horserace,horse,race,race causes horse,H causes M
horserace,horse,race,race causing horse,H causing M
horserace,horse,race,race that causes horse,H that causes M
horserace,horse,race,race during horse,H during M
horserace,horse,race,race for horse,H for M
horserace,horse,race,race from horse,H from M
horserace,horse,race,race has horse,H has M
horserace,horse,race,race having horse,H having M
horserace,horse,race,race that has horse,H that has M
horserace,horse,race,horse has race,M has H
horserace,horse,race,horse having race,M having H
horserace,horse,race,horse that has race,M that has H
horserace,horse,race,race is horse,H is M
horserace,horse,race,race being horse,H being M
horserace,horse,race,race that is horse,H that is M
horserace,horse,race,race location is horse,H location is M
horserace,horse,race,race whose location is horse,H whose location is M
horserace,horse,race,race located on horse,H located on M
horserace,horse,race,horse location is race,M location is H
horserace,horse,race,horse whose location is race,M whose location is H
horserace,horse,race,horse located on race,M located on H
horserace,horse,race,race made of horse,H made of M
horserace,horse,race,race makes horse,H makes M
horserace,horse,race,race making horse,H making M
horserace,horse,race,race that makes horse,H that makes M
horserace,horse,race,race used by horse,H used by M
horserace,horse,race,race uses horse,H uses M
horserace,horse,race,race using horse,H using M
horserace,horse,race,race that uses horse,H that uses M
horserace,horse,race,race located in horse,H located in M
horserace,horse,race,race located at horse,H located at M
horserace,horse,race,horse located in race,M located in H
horserace,horse,race,horse located at race,M located at H
hourglass,hour,glass,hourglass,same
hourglass,hour,glass,glass about hour,H about M
hourglass,hour,glass,glass by hour,H by M
hourglass,hour,glass,glass caused by hour,H caused by M
hourglass,hour,glass,glass causes hour,H causes M
hourglass,hour,glass,glass causing hour,H causing M
hourglass,hour,glass,glass that causes hour,H that causes M
hourglass,hour,glass,glass during hour,H during M
hourglass,hour,glass,glass for hour,H for M
hourglass,hour,glass,glass from hour,H from M
hourglass,hour,glass,glass has hour,H has M
hourglass,hour,glass,glass having hour,H having M
hourglass,hour,glass,glass that has hour,H that has M
hourglass,hour,glass,hour has glass,M has H
hourglass,hour,glass,hour having glass,M having H
hourglass,hour,glass,hour that has glass,M that has H
hourglass,hour,glass,glass is hour,H is M
hourglass,hour,glass,glass being hour,H being M
hourglass,hour,glass,glass that is hour,H that is M
hourglass,hour,glass,glass location is hour,H location is M
hourglass,hour,glass,glass whose location is hour,H whose location is M
hourglass,hour,glass,glass located on hour,H located on M
hourglass,hour,glass,hour location is glass,M location is H
hourglass,hour,glass,hour whose location is glass,M whose location is H
hourglass,hour,glass,hour located on glass,M located on H
hourglass,hour,glass,glass made of hour,H made of M
hourglass,hour,glass,glass makes hour,H makes M
hourglass,hour,glass,glass making hour,H making M
hourglass,hour,glass,glass that makes hour,H that makes M
hourglass,hour,glass,glass used by hour,H used by M
hourglass,hour,glass,glass uses hour,H uses M
hourglass,hour,glass,glass using hour,H using M
hourglass,hour,glass,glass that uses hour,H that uses M
hourglass,hour,glass,glass located in hour,H located in M
hourglass,hour,glass,glass located at hour,H located at M
hourglass,hour,glass,hour located in glass,M located in H
hourglass,hour,glass,hour located at glass,M located at H
housecoat,house,coat,housecoat,same
housecoat,house,coat,coat about house,H about M
housecoat,house,coat,coat by house,H by M
housecoat,house,coat,coat caused by house,H caused by M
housecoat,house,coat,coat causes house,H causes M
housecoat,house,coat,coat causing house,H causing M
housecoat,house,coat,coat that causes house,H that causes M
housecoat,house,coat,coat during house,H during M
housecoat,house,coat,coat for house,H for M
housecoat,house,coat,coat from house,H from M
housecoat,house,coat,coat has house,H has M
housecoat,house,coat,coat having house,H having M
housecoat,house,coat,coat that has house,H that has M
housecoat,house,coat,house has coat,M has H
housecoat,house,coat,house having coat,M having H
housecoat,house,coat,house that has coat,M that has H
housecoat,house,coat,coat is house,H is M
housecoat,house,coat,coat being house,H being M
housecoat,house,coat,coat that is house,H that is M
housecoat,house,coat,coat location is house,H location is M
housecoat,house,coat,coat whose location is house,H whose location is M
housecoat,house,coat,coat located on house,H located on M
housecoat,house,coat,house location is coat,M location is H
housecoat,house,coat,house whose location is coat,M whose location is H
housecoat,house,coat,house located on coat,M located on H
housecoat,house,coat,coat made of house,H made of M
housecoat,house,coat,coat makes house,H makes M
housecoat,house,coat,coat making house,H making M
housecoat,house,coat,coat that makes house,H that makes M
housecoat,house,coat,coat used by house,H used by M
housecoat,house,coat,coat uses house,H uses M
housecoat,house,coat,coat using house,H using M
housecoat,house,coat,coat that uses house,H that uses M
housecoat,house,coat,coat located in house,H located in M
housecoat,house,coat,coat located at house,H located at M
housecoat,house,coat,house located in coat,M located in H
housecoat,house,coat,house located at coat,M located at H
household,house,hold,household,same
household,house,hold,hold about house,H about M
household,house,hold,hold by house,H by M
household,house,hold,hold caused by house,H caused by M
household,house,hold,hold causes house,H causes M
household,house,hold,hold causing house,H causing M
household,house,hold,hold that causes house,H that causes M
household,house,hold,hold during house,H during M
household,house,hold,hold for house,H for M
household,house,hold,hold from house,H from M
household,house,hold,hold has house,H has M
household,house,hold,hold having house,H having M
household,house,hold,hold that has house,H that has M
household,house,hold,house has hold,M has H
household,house,hold,house having hold,M having H
household,house,hold,house that has hold,M that has H
household,house,hold,hold is house,H is M
household,house,hold,hold being house,H being M
household,house,hold,hold that is house,H that is M
household,house,hold,hold location is house,H location is M
household,house,hold,hold whose location is house,H whose location is M
household,house,hold,hold located on house,H located on M
household,house,hold,house location is hold,M location is H
household,house,hold,house whose location is hold,M whose location is H
household,house,hold,house located on hold,M located on H
household,house,hold,hold made of house,H made of M
household,house,hold,hold makes house,H makes M
household,house,hold,hold making house,H making M
household,house,hold,hold that makes house,H that makes M
household,house,hold,hold used by house,H used by M
household,house,hold,hold uses house,H uses M
household,house,hold,hold using house,H using M
household,house,hold,hold that uses house,H that uses M
household,house,hold,hold located in house,H located in M
household,house,hold,hold located at house,H located at M
household,house,hold,house located in hold,M located in H
household,house,hold,house located at hold,M located at H
houseplant,house,plant,houseplant,same
houseplant,house,plant,plant about house,H about M
houseplant,house,plant,plant by house,H by M
houseplant,house,plant,plant caused by house,H caused by M
houseplant,house,plant,plant causes house,H causes M
houseplant,house,plant,plant causing house,H causing M
houseplant,house,plant,plant that causes house,H that causes M
houseplant,house,plant,plant during house,H during M
houseplant,house,plant,plant for house,H for M
houseplant,house,plant,plant from house,H from M
houseplant,house,plant,plant has house,H has M
houseplant,house,plant,plant having house,H having M
houseplant,house,plant,plant that has house,H that has M
houseplant,house,plant,house has plant,M has H
houseplant,house,plant,house having plant,M having H
houseplant,house,plant,house that has plant,M that has H
houseplant,house,plant,plant is house,H is M
houseplant,house,plant,plant being house,H being M
houseplant,house,plant,plant that is house,H that is M
houseplant,house,plant,plant location is house,H location is M
houseplant,house,plant,plant whose location is house,H whose location is M
houseplant,house,plant,plant located on house,H located on M
houseplant,house,plant,house location is plant,M location is H
houseplant,house,plant,house whose location is plant,M whose location is H
houseplant,house,plant,house located on plant,M located on H
houseplant,house,plant,plant made of house,H made of M
houseplant,house,plant,plant makes house,H makes M
houseplant,house,plant,plant making house,H making M
houseplant,house,plant,plant that makes house,H that makes M
houseplant,house,plant,plant used by house,H used by M
houseplant,house,plant,plant uses house,H uses M
houseplant,house,plant,plant using house,H using M
houseplant,house,plant,plant that uses house,H that uses M
houseplant,house,plant,plant located in house,H located in M
houseplant,house,plant,plant located at house,H located at M
houseplant,house,plant,house located in plant,M located in H
houseplant,house,plant,house located at plant,M located at H
housewife,house,wife,housewife,same
housewife,house,wife,wife about house,H about M
housewife,house,wife,wife by house,H by M
housewife,house,wife,wife caused by house,H caused by M
housewife,house,wife,wife causes house,H causes M
housewife,house,wife,wife causing house,H causing M
housewife,house,wife,wife that causes house,H that causes M
housewife,house,wife,wife during house,H during M
housewife,house,wife,wife for house,H for M
housewife,house,wife,wife from house,H from M
housewife,house,wife,wife has house,H has M
housewife,house,wife,wife having house,H having M
housewife,house,wife,wife that has house,H that has M
housewife,house,wife,house has wife,M has H
housewife,house,wife,house having wife,M having H
housewife,house,wife,house that has wife,M that has H
housewife,house,wife,wife is house,H is M
housewife,house,wife,wife being house,H being M
housewife,house,wife,wife that is house,H that is M
housewife,house,wife,wife location is house,H location is M
housewife,house,wife,wife whose location is house,H whose location is M
housewife,house,wife,wife located on house,H located on M
housewife,house,wife,house location is wife,M location is H
housewife,house,wife,house whose location is wife,M whose location is H
housewife,house,wife,house located on wife,M located on H
housewife,house,wife,wife made of house,H made of M
housewife,house,wife,wife makes house,H makes M
housewife,house,wife,wife making house,H making M
housewife,house,wife,wife that makes house,H that makes M
housewife,house,wife,wife used by house,H used by M
housewife,house,wife,wife uses house,H uses M
housewife,house,wife,wife using house,H using M
housewife,house,wife,wife that uses house,H that uses M
housewife,house,wife,wife located in house,H located in M
housewife,house,wife,wife located at house,H located at M
housewife,house,wife,house located in wife,M located in H
housewife,house,wife,house located at wife,M located at H
hunchback,hunch,back,hunchback,same
hunchback,hunch,back,back about hunch,H about M
hunchback,hunch,back,back by hunch,H by M
hunchback,hunch,back,back caused by hunch,H caused by M
hunchback,hunch,back,back causes hunch,H causes M
hunchback,hunch,back,back causing hunch,H causing M
hunchback,hunch,back,back that causes hunch,H that causes M
hunchback,hunch,back,back during hunch,H during M
hunchback,hunch,back,back for hunch,H for M
hunchback,hunch,back,back from hunch,H from M
hunchback,hunch,back,back has hunch,H has M
hunchback,hunch,back,back having hunch,H having M
hunchback,hunch,back,back that has hunch,H that has M
hunchback,hunch,back,hunch has back,M has H
hunchback,hunch,back,hunch having back,M having H
hunchback,hunch,back,hunch that has back,M that has H
hunchback,hunch,back,back is hunch,H is M
hunchback,hunch,back,back being hunch,H being M
hunchback,hunch,back,back that is hunch,H that is M
hunchback,hunch,back,back location is hunch,H location is M
hunchback,hunch,back,back whose location is hunch,H whose location is M
hunchback,hunch,back,back located on hunch,H located on M
hunchback,hunch,back,hunch location is back,M location is H
hunchback,hunch,back,hunch whose location is back,M whose location is H
hunchback,hunch,back,hunch located on back,M located on H
hunchback,hunch,back,back made of hunch,H made of M
hunchback,hunch,back,back makes hunch,H makes M
hunchback,hunch,back,back making hunch,H making M
hunchback,hunch,back,back that makes hunch,H that makes M
hunchback,hunch,back,back used by hunch,H used by M
hunchback,hunch,back,back uses hunch,H uses M
hunchback,hunch,back,back using hunch,H using M
hunchback,hunch,back,back that uses hunch,H that uses M
hunchback,hunch,back,back located in hunch,H located in M
hunchback,hunch,back,back located at hunch,H located at M
hunchback,hunch,back,hunch located in back,M located in H
hunchback,hunch,back,hunch located at back,M located at H
icefall,ice,fall,icefall,same
icefall,ice,fall,fall about ice,H about M
icefall,ice,fall,fall by ice,H by M
icefall,ice,fall,fall caused by ice,H caused by M
icefall,ice,fall,fall causes ice,H causes M
icefall,ice,fall,fall causing ice,H causing M
icefall,ice,fall,fall that causes ice,H that causes M
icefall,ice,fall,fall during ice,H during M
icefall,ice,fall,fall for ice,H for M
icefall,ice,fall,fall from ice,H from M
icefall,ice,fall,fall has ice,H has M
icefall,ice,fall,fall having ice,H having M
icefall,ice,fall,fall that has ice,H that has M
icefall,ice,fall,ice has fall,M has H
icefall,ice,fall,ice having fall,M having H
icefall,ice,fall,ice that has fall,M that has H
icefall,ice,fall,fall is ice,H is M
icefall,ice,fall,fall being ice,H being M
icefall,ice,fall,fall that is ice,H that is M
icefall,ice,fall,fall location is ice,H location is M
icefall,ice,fall,fall whose location is ice,H whose location is M
icefall,ice,fall,fall located on ice,H located on M
icefall,ice,fall,ice location is fall,M location is H
icefall,ice,fall,ice whose location is fall,M whose location is H
icefall,ice,fall,ice located on fall,M located on H
icefall,ice,fall,fall made of ice,H made of M
icefall,ice,fall,fall makes ice,H makes M
icefall,ice,fall,fall making ice,H making M
icefall,ice,fall,fall that makes ice,H that makes M
icefall,ice,fall,fall used by ice,H used by M
icefall,ice,fall,fall uses ice,H uses M
icefall,ice,fall,fall using ice,H using M
icefall,ice,fall,fall that uses ice,H that uses M
icefall,ice,fall,fall located in ice,H located in M
icefall,ice,fall,fall located at ice,H located at M
icefall,ice,fall,ice located in fall,M located in H
icefall,ice,fall,ice located at fall,M located at H
icepack,ice,pack,icepack,same
icepack,ice,pack,pack about ice,H about M
icepack,ice,pack,pack by ice,H by M
icepack,ice,pack,pack caused by ice,H caused by M
icepack,ice,pack,pack causes ice,H causes M
icepack,ice,pack,pack causing ice,H causing M
icepack,ice,pack,pack that causes ice,H that causes M
icepack,ice,pack,pack during ice,H during M
icepack,ice,pack,pack for ice,H for M
icepack,ice,pack,pack from ice,H from M
icepack,ice,pack,pack has ice,H has M
icepack,ice,pack,pack having ice,H having M
icepack,ice,pack,pack that has ice,H that has M
icepack,ice,pack,ice has pack,M has H
icepack,ice,pack,ice having pack,M having H
icepack,ice,pack,ice that has pack,M that has H
icepack,ice,pack,pack is ice,H is M
icepack,ice,pack,pack being ice,H being M
icepack,ice,pack,pack that is ice,H that is M
icepack,ice,pack,pack location is ice,H location is M
icepack,ice,pack,pack whose location is ice,H whose location is M
icepack,ice,pack,pack located on ice,H located on M
icepack,ice,pack,ice location is pack,M location is H
icepack,ice,pack,ice whose location is pack,M whose location is H
icepack,ice,pack,ice located on pack,M located on H
icepack,ice,pack,pack made of ice,H made of M
icepack,ice,pack,pack makes ice,H makes M
icepack,ice,pack,pack making ice,H making M
icepack,ice,pack,pack that makes ice,H that makes M
icepack,ice,pack,pack used by ice,H used by M
icepack,ice,pack,pack uses ice,H uses M
icepack,ice,pack,pack using ice,H using M
icepack,ice,pack,pack that uses ice,H that uses M
icepack,ice,pack,pack located in ice,H located in M
icepack,ice,pack,pack located at ice,H located at M
icepack,ice,pack,ice located in pack,M located in H
icepack,ice,pack,ice located at pack,M located at H
inkwell,ink,well,inkwell,same
inkwell,ink,well,well about ink,H about M
inkwell,ink,well,well by ink,H by M
inkwell,ink,well,well caused by ink,H caused by M
inkwell,ink,well,well causes ink,H causes M
inkwell,ink,well,well causing ink,H causing M
inkwell,ink,well,well that causes ink,H that causes M
inkwell,ink,well,well during ink,H during M
inkwell,ink,well,well for ink,H for M
inkwell,ink,well,well from ink,H from M
inkwell,ink,well,well has ink,H has M
inkwell,ink,well,well having ink,H having M
inkwell,ink,well,well that has ink,H that has M
inkwell,ink,well,ink has well,M has H
inkwell,ink,well,ink having well,M having H
inkwell,ink,well,ink that has well,M that has H
inkwell,ink,well,well is ink,H is M
inkwell,ink,well,well being ink,H being M
inkwell,ink,well,well that is ink,H that is M
inkwell,ink,well,well location is ink,H location is M
inkwell,ink,well,well whose location is ink,H whose location is M
inkwell,ink,well,well located on ink,H located on M
inkwell,ink,well,ink location is well,M location is H
inkwell,ink,well,ink whose location is well,M whose location is H
inkwell,ink,well,ink located on well,M located on H
inkwell,ink,well,well made of ink,H made of M
inkwell,ink,well,well makes ink,H makes M
inkwell,ink,well,well making ink,H making M
inkwell,ink,well,well that makes ink,H that makes M
inkwell,ink,well,well used by ink,H used by M
inkwell,ink,well,well uses ink,H uses M
inkwell,ink,well,well using ink,H using M
inkwell,ink,well,well that uses ink,H that uses M
inkwell,ink,well,well located in ink,H located in M
inkwell,ink,well,well located at ink,H located at M
inkwell,ink,well,ink located in well,M located in H
inkwell,ink,well,ink located at well,M located at H
jailbird,jail,bird,jailbird,same
jailbird,jail,bird,bird about jail,H about M
jailbird,jail,bird,bird by jail,H by M
jailbird,jail,bird,bird caused by jail,H caused by M
jailbird,jail,bird,bird causes jail,H causes M
jailbird,jail,bird,bird causing jail,H causing M
jailbird,jail,bird,bird that causes jail,H that causes M
jailbird,jail,bird,bird during jail,H during M
jailbird,jail,bird,bird for jail,H for M
jailbird,jail,bird,bird from jail,H from M
jailbird,jail,bird,bird has jail,H has M
jailbird,jail,bird,bird having jail,H having M
jailbird,jail,bird,bird that has jail,H that has M
jailbird,jail,bird,jail has bird,M has H
jailbird,jail,bird,jail having bird,M having H
jailbird,jail,bird,jail that has bird,M that has H
jailbird,jail,bird,bird is jail,H is M
jailbird,jail,bird,bird being jail,H being M
jailbird,jail,bird,bird that is jail,H that is M
jailbird,jail,bird,bird location is jail,H location is M
jailbird,jail,bird,bird whose location is jail,H whose location is M
jailbird,jail,bird,bird located on jail,H located on M
jailbird,jail,bird,jail location is bird,M location is H
jailbird,jail,bird,jail whose location is bird,M whose location is H
jailbird,jail,bird,jail located on bird,M located on H
jailbird,jail,bird,bird made of jail,H made of M
jailbird,jail,bird,bird makes jail,H makes M
jailbird,jail,bird,bird making jail,H making M
jailbird,jail,bird,bird that makes jail,H that makes M
jailbird,jail,bird,bird used by jail,H used by M
jailbird,jail,bird,bird uses jail,H uses M
jailbird,jail,bird,bird using jail,H using M
jailbird,jail,bird,bird that uses jail,H that uses M
jailbird,jail,bird,bird located in jail,H located in M
jailbird,jail,bird,bird located at jail,H located at M
jailbird,jail,bird,jail located in bird,M located in H
jailbird,jail,bird,jail located at bird,M located at H
jailbreak,jail,break,jailbreak,same
jailbreak,jail,break,break about jail,H about M
jailbreak,jail,break,break by jail,H by M
jailbreak,jail,break,break caused by jail,H caused by M
jailbreak,jail,break,break causes jail,H causes M
jailbreak,jail,break,break causing jail,H causing M
jailbreak,jail,break,break that causes jail,H that causes M
jailbreak,jail,break,break during jail,H during M
jailbreak,jail,break,break for jail,H for M
jailbreak,jail,break,break from jail,H from M
jailbreak,jail,break,break has jail,H has M
jailbreak,jail,break,break having jail,H having M
jailbreak,jail,break,break that has jail,H that has M
jailbreak,jail,break,jail has break,M has H
jailbreak,jail,break,jail having break,M having H
jailbreak,jail,break,jail that has break,M that has H
jailbreak,jail,break,break is jail,H is M
jailbreak,jail,break,break being jail,H being M
jailbreak,jail,break,break that is jail,H that is M
jailbreak,jail,break,break location is jail,H location is M
jailbreak,jail,break,break whose location is jail,H whose location is M
jailbreak,jail,break,break located on jail,H located on M
jailbreak,jail,break,jail location is break,M location is H
jailbreak,jail,break,jail whose location is break,M whose location is H
